NUMBER_OF_PICKUPS,NUMBER_OF_DROPS,PICKUP_DATE,ORDER_BOOK_DATE,SHIPMENT_AMOUNT,MILEAGE,HAZMAT,SERVICE_LEVEL,WEIGHT,LINEAR_FEET,EQUIP_TYPE,ORIGIN_LOCATION,DESTINATION_LOCATION
1,1,2023-01-11T00:00:00Z,2023-01-09T00:00:00Z,6657.92,1810,0,1,41502,52,V,GA_SAV,FL_MIA
1,1,2023-01-19T00:00:00Z,2023-01-19T00:00:00Z,6704.29,2163,0,3,34942,48,R,FL_MIA,MO_KAN
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,6652.67,2634,0,3,40000,48,R,FL_MIA,AL_MOB
1,1,2023-01-17T00:00:00Z,2023-01-16T00:00:00Z,6639.32,2224,0,3,42500,48,R,AL_MOB,GA_SAV
1,1,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,6628.3,2163,0,3,26170,48,R,FL_MIA,MO_KAN
1,1,2023-01-11T00:00:00Z,2023-01-11T00:00:00Z,6646.05,2111,0,3,29178,48,R,FL_MIA,GA_SAV
1,1,2023-01-15T00:00:00Z,2023-01-14T00:00:00Z,6662.27,2163,0,3,40000,48,R,FL_MIA,MO_KAN
1,1,2023-01-27T00:00:00Z,2023-01-20T00:00:00Z,6673.57,2312,0,1,31612,48,R,TX_HOU,GA_SAV
1,1,2023-01-13T00:00:00Z,2023-01-12T00:00:00Z,6658.51,2087,0,1,7240,52,V,FL_MIA,CA_LAX
1,1,2023-01-13T00:00:00Z,2023-01-12T00:00:00Z,6620.51,2087,0,1,6974,52,V,FL_MIA,CA_LAX
1,1,2023-01-12T00:00:00Z,2023-01-09T00:00:00Z,6635.06,2224,0,3,42000,48,R,AL_MOB,GA_SAV
1,1,2023-01-11T00:00:00Z,2023-01-12T00:00:00Z,6653.91,2163,0,3,28521,48,R,FL_MIA,MO_KAN
1,1,2023-01-28T00:00:00Z,2023-01-28T00:00:00Z,6627.76,2111,0,3,35606,48,R,FL_MIA,GA_SAV
1,1,2023-01-26T00:00:00Z,2023-01-25T00:00:00Z,6579.47,2118,0,3,42000,48,R,AL_MOB,MO_KAN
1,1,2023-01-04T00:00:00Z,2023-01-03T00:00:00Z,6568.02,2118,0,3,42500,48,R,AL_MOB,MO_KAN
1,1,2023-01-09T00:00:00Z,2023-01-09T00:00:00Z,6543.35,2163,0,3,32469,48,R,FL_MIA,MO_KAN
1,1,2023-01-10T00:00:00Z,2023-01-05T00:00:00Z,6561.7,2197,0,3,40000,48,R,FL_MIA,AL_MOB
1,1,2023-01-07T00:00:00Z,2023-01-07T00:00:00Z,6488.59,2197,0,3,27224,48,R,FL_MIA,AL_MOB
1,1,2023-01-19T00:00:00Z,2023-01-19T00:00:00Z,6524.54,2453,0,3,37249,48,R,FL_MIA,GA_SAV
1,1,2023-01-29T00:00:00Z,2023-01-25T00:00:00Z,6495.16,2017,0,3,40000,48,R,FL_MIA,MO_KAN
1,1,2023-01-12T00:00:00Z,2023-01-11T00:00:00Z,6485.38,2010,0,3,42000,48,R,AL_MOB,FL_MIA
1,1,2023-01-10T00:00:00Z,2023-01-05T00:00:00Z,6525.42,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-18T00:00:00Z,2023-01-13T00:00:00Z,6479.59,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-23T00:00:00Z,2023-01-18T00:00:00Z,6449.59,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-24T00:00:00Z,2023-01-23T00:00:00Z,6497.25,2096,0,3,33551,48,R,FL_MIA,FL_MIA
1,1,2023-01-09T00:00:00Z,2023-01-06T00:00:00Z,6409.22,2010,0,3,42500,48,R,AL_MOB,FL_MIA
1,1,2023-01-29T00:00:00Z,2023-01-29T00:00:00Z,6474.91,2096,0,3,36926,48,R,FL_MIA,FL_MIA
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,6412.61,2442,0,3,39709,48,R,FL_MIA,TX_HOU
1,1,2023-01-05T00:00:00Z,2023-01-04T00:00:00Z,6397.9,2031,0,1,39600,48,R,AL_MOB,FL_MIA
1,1,2023-01-10T00:00:00Z,2023-01-05T00:00:00Z,6365.2,1861,0,3,40000,48,R,FL_MIA,IL_RFD
1,1,2023-01-03T00:00:00Z,2023-01-04T00:00:00Z,6276.09,2086,0,3,18414,48,R,FL_MIA,FL_MIA
1,1,2023-01-08T00:00:00Z,2023-01-08T00:00:00Z,6319.01,2096,0,3,18738,48,R,FL_MIA,FL_MIA
1,1,2023-01-17T00:00:00Z,2023-01-17T00:00:00Z,6292.79,2086,0,3,27185,48,R,FL_MIA,FL_MIA
1,1,2023-01-25T00:00:00Z,2023-01-25T00:00:00Z,6275.71,1949,0,1,26542,48,R,FL_MIA,MO_KAN
1,1,2023-01-21T00:00:00Z,2023-01-22T00:00:00Z,6264.25,1949,0,1,28904,48,R,FL_MIA,MO_KAN
1,1,2023-01-31T00:00:00Z,2023-01-26T00:00:00Z,6215.53,2086,0,3,40000,48,R,FL_MIA,FL_MIA
1,1,2023-01-30T00:00:00Z,2023-01-30T00:00:00Z,6238.18,1949,0,1,36739,48,R,FL_MIA,MO_KAN
1,1,2023-01-17T00:00:00Z,2023-01-17T00:00:00Z,6195.94,1949,0,1,37818,48,R,FL_MIA,MO_KAN
1,1,2023-01-31T00:00:00Z,2023-01-26T00:00:00Z,6226.45,1861,0,3,40000,48,R,FL_MIA,IL_RFD
1,1,2023-01-03T00:00:00Z,2023-01-02T00:00:00Z,6174.22,1845,0,3,35500,48,R,AL_MOB,IL_RFD
1,1,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,6210.34,1949,0,1,38009,48,R,FL_MIA,MO_KAN
1,1,2023-01-03T00:00:00Z,2022-12-30T00:00:00Z,6153.15,1903,0,1,39368,48,R,AL_MOB,GA_SAV
1,1,2023-01-12T00:00:00Z,2023-01-11T00:00:00Z,6176.88,1949,0,1,40000,48,R,FL_MIA,MO_KAN
1,1,2023-01-12T00:00:00Z,2023-01-12T00:00:00Z,6113.88,1949,0,1,37797,48,R,FL_MIA,MO_KAN
1,1,2023-01-05T00:00:00Z,2023-01-05T00:00:00Z,6108.4,1949,0,1,27261,48,R,FL_MIA,MO_KAN
1,1,2023-01-09T00:00:00Z,2023-01-04T00:00:00Z,6087.81,1949,0,1,40000,48,R,FL_MIA,MO_KAN
1,1,2023-01-20T00:00:00Z,2023-01-20T00:00:00Z,6140.73,2017,0,3,22001,48,R,FL_MIA,MO_KAN
1,1,2023-01-29T00:00:00Z,2023-01-29T00:00:00Z,6156.11,2017,0,3,27834,48,R,FL_MIA,MO_KAN
1,1,2023-01-02T00:00:00Z,2023-01-02T00:00:00Z,6089.04,2017,0,3,34201,48,R,FL_MIA,MO_KAN
1,1,2023-01-05T00:00:00Z,2023-01-05T00:00:00Z,6097.07,2111,0,3,38608,48,R,FL_MIA,GA_SAV
1,1,2023-01-19T00:00:00Z,2023-01-13T00:00:00Z,6095.72,1909,0,3,40000,48,R,FL_MIA,FL_MIA
1,1,2023-01-19T00:00:00Z,2023-01-13T00:00:00Z,5994.52,2122,0,3,40000,48,R,FL_MIA,GA_SAV
1,1,2023-01-24T00:00:00Z,2023-01-19T00:00:00Z,6064.14,1909,0,3,40000,48,R,FL_MIA,FL_MIA
1,1,2023-01-06T00:00:00Z,2023-01-06T00:00:00Z,6058.54,2264,0,3,40000,48,R,AL_MOB,MO_KAN
1,1,2023-01-25T00:00:00Z,2023-01-21T00:00:00Z,5930.69,2688,0,1,39480,48,R,CA_LAX,NC_CHA
1,1,2023-01-19T00:00:00Z,2023-01-04T00:00:00Z,6014.74,2202,0,1,41580,52,V,CA_LAX,CA_LAX
1,1,2023-01-19T00:00:00Z,2023-01-04T00:00:00Z,5940.74,2202,0,1,41424,52,V,CA_LAX,CA_LAX
1,1,2023-01-03T00:00:00Z,2023-01-02T00:00:00Z,5897.29,2661,0,3,43787,48,R,AL_MOB,FL_LAK
1,1,2023-01-25T00:00:00Z,2023-01-25T00:00:00Z,5970.23,1921,0,1,7146,52,V,AL_MOB,FL_MIA
1,1,2023-01-06T00:00:00Z,2023-01-05T00:00:00Z,5942.21,2634,0,3,40000,48,R,FL_MIA,AL_MOB
